Redshift,Comoving distance (Mpc),Luminosity distance (Mpc),Angular-diameter distance (Mpc),Proper distance (Mpc)
0.01,42.79,43.218,42.366,42.577
0.02,85.404,87.112,83.73,84.562
0.03,127.842,131.677,124.118,125.966
0.04,170.102,176.906,163.56,166.797
0.05,212.183,222.793,202.08,207.067
0.06,254.085,269.33,239.703,246.784
0.07,295.805,316.511,276.453,285.958
0.08,337.343,364.33,312.354,324.599
0.09,378.697,412.78,347.429,362.714
0.1,419.868,461.854,381.698,400.313
0.11,460.853,511.547,415.183,437.404
0.12,501.653,561.851,447.904,473.996
0.13,542.266,612.76,479.881,510.097
0.14,582.691,664.268,511.133,545.715
0.15,622.929,716.368,541.677,580.857
0.16,662.978,769.054,571.533,615.531
0.17,702.837,822.32,600.716,649.746
0.18,742.507,876.158,629.243,683.508
0.19,781.986,930.563,657.131,716.824
0.2,821.274,985.529,684.395,749.701
0.21,860.371,1041.05,711.051,782.147
0.22,899.277,1097.118,737.112,814.169
0.23,937.991,1153.728,762.594,845.772
0.24,976.512,1210.875,787.51,876.963
0.25,1014.841,1268.551,811.873,907.75
0.26,1052.977,1326.751,835.696,938.138
0.27,1090.921,1385.469,858.993,968.133
0.28,1128.671,1444.699,881.774,997.741
0.29,1166.229,1504.435,904.053,1026.969
0.3,1203.594,1564.672,925.841,1055.823
0.31,1240.765,1625.402,947.149,1084.307
0.32,1277.744,1686.622,967.988,1112.428
0.33,1314.53,1748.325,988.368,1140.191
0.34,1351.123,1810.505,1008.301,1167.602
0.35,1387.523,1873.157,1027.795,1194.666
0.36,1423.731,1936.275,1046.861,1221.388
0.37,1459.747,1999.854,1065.509,1247.773
0.38,1495.572,2063.889,1083.747,1273.827
0.39,1531.204,2128.374,1101.586,1299.555
0.4,1566.645,2193.303,1119.032,1324.961
0.41,1601.895,2258.672,1136.096,1350.05
0.42,1636.955,2324.476,1152.785,1374.827
0.43,1671.824,2390.709,1169.108,1399.297
0.44,1706.504,2457.366,1185.072,1423.465
0.45,1740.995,2524.442,1200.686,1447.334
0.46,1775.296,2591.933,1215.956,1470.909
0.47,1809.41,2659.833,1230.891,1494.195
0.48,1843.336,2728.137,1245.497,1517.195
0.49,1877.074,2796.841,1259.781,1539.915
0.5,1910.626,2865.94,1273.751,1562.358
0.51,1943.993,2935.429,1287.412,1584.529
0.52,1977.173,3005.303,1300.772,1606.43
0.53,2010.17,3075.559,1313.836,1628.067
0.54,2042.982,3146.192,1326.611,1649.443
0.55,2075.611,3217.196,1339.104,1670.563
0.56,2108.057,3288.569,1351.318,1691.428
0.57,2140.321,3360.304,1363.262,1712.045
0.58,2172.404,3432.399,1374.939,1732.415
0.59,2204.307,3504.849,1386.357,1752.543
0.6,2236.031,3577.649,1397.519,1772.433
0.61,2267.575,3650.796,1408.432,1792.087
0.62,2298.942,3724.285,1419.1,1811.509
0.63,2330.131,3798.113,1429.528,1830.702
0.64,2361.144,3872.276,1439.722,1849.671
0.65,2391.981,3946.769,1449.686,1868.417
0.66,2422.644,4021.589,1459.424,1886.944
0.67,2453.133,4096.732,1468.942,1905.256
0.68,2483.449,4172.194,1478.243,1923.355
0.69,2513.593,4247.972,1487.333,1941.245
0.7,2543.566,4324.062,1496.215,1958.928
0.71,2573.368,4400.46,1504.894,1976.408
0.72,2603.002,4477.163,1513.373,1993.687
0.73,2632.467,4554.167,1521.657,2010.768
0.74,2661.764,4631.469,1529.749,2027.654
0.75,2690.895,4709.066,1537.654,2044.348
0.76,2719.86,4786.953,1545.375,2060.853
0.77,2748.66,4865.129,1552.915,2077.17
0.78,2777.297,4943.589,1560.279,2093.304
0.79,2805.771,5022.33,1567.47,2109.256
0.8,2834.083,5101.35,1574.491,2125.028
0.81,2862.234,5180.644,1581.345,2140.625
0.82,2890.226,5260.211,1588.036,2156.047
0.83,2918.058,5340.046,1594.567,2171.298
0.84,2945.733,5420.148,1600.942,2186.379
0.85,2973.25,5500.513,1607.162,2201.294
0.86,3000.611,5581.137,1613.232,2216.044
0.87,3027.818,5662.019,1619.154,2230.632
0.88,3054.87,5743.156,1624.931,2245.06
0.89,3081.769,5824.544,1630.566,2259.33
0.9,3108.516,5906.181,1636.061,2273.445
0.91,3135.112,5988.064,1641.42,2287.406
0.92,3161.558,6070.191,1646.645,2301.216
0.93,3187.855,6152.559,1651.738,2314.877
0.94,3214.003,6235.166,1656.703,2328.39
0.95,3240.004,6318.008,1661.541,2341.758
0.96,3265.859,6401.084,1666.255,2354.983
0.97,3291.569,6484.39,1670.847,2368.067
0.98,3317.134,6567.925,1675.32,2381.012
0.99,3342.556,6651.686,1679.676,2393.819
1,3367.835,6735.671,1683.918,2406.49
1.01,3392.974,6819.877,1688.047,2419.028
1.02,3417.971,6904.302,1692.065,2431.434
1.03,3442.829,6988.944,1695.975,2443.71
1.04,3467.549,7073.8,1699.779,2455.857
1.05,3492.131,7158.869,1703.479,2467.878
1.06,3516.577,7244.148,1707.076,2479.773
1.07,3540.887,7329.635,1710.573,2491.546
1.08,3565.062,7415.328,1713.972,2503.196
1.09,3589.103,7501.225,1717.274,2514.727
1.1,3613.012,7587.324,1720.482,2526.139
1.11,3636.788,7673.623,1723.596,2537.435
1.12,3660.434,7760.12,1726.62,2548.615
1.13,3683.949,7846.812,1729.554,2559.681
1.14,3707.336,7933.699,1732.4,2570.635
1.15,3730.594,8020.777,1735.16,2581.478
1.16,3753.725,8108.046,1737.836,2592.211
1.17,3776.73,8195.503,1740.428,2602.837
1.18,3799.609,8283.147,1742.94,2613.356
1.19,3822.363,8370.975,1745.371,2623.77
1.2,3844.994,8458.987,1747.724,2634.08
1.21,3867.502,8547.179,1750.001,2644.288
1.22,3889.888,8635.551,1752.202,2654.395
1.23,3912.153,8724.101,1754.329,2664.401
1.24,3934.298,8812.827,1756.383,2674.31
1.25,3956.323,8901.728,1758.366,2684.121
1.26,3978.231,8990.801,1760.279,2693.836
1.27,4000.02,9080.046,1762.123,2703.456
1.28,4021.693,9169.46,1763.9,2712.982
1.29,4043.25,9259.043,1765.611,2722.417
1.3,4064.692,9348.792,1767.257,2731.76
1.31,4086.02,9438.706,1768.84,2741.012
1.32,4107.235,9528.784,1770.36,2750.176
1.33,4128.336,9619.024,1771.818,2759.253
1.34,4149.327,9709.425,1773.217,2768.242
1.35,4170.206,9799.984,1774.556,2777.146
1.36,4190.975,9890.702,1775.837,2785.965
1.37,4211.636,9981.576,1777.061,2794.701
1.38,4232.187,10072.605,1778.23,2803.354
1.39,4252.631,10163.788,1779.344,2811.926
1.4,4272.968,10255.123,1780.403,2820.418
1.41,4293.199,10346.61,1781.41,2828.83
1.42,4313.325,10438.246,1782.366,2837.163
1.43,4333.346,10530.03,1783.27,2845.419
1.44,4353.263,10621.962,1784.124,2853.599
1.45,4373.077,10714.039,1784.93,2861.703
1.46,4392.789,10806.262,1785.687,2869.732
1.47,4412.4,10898.628,1786.397,2877.688
1.48,4431.91,10991.136,1787.06,2885.571
1.49,4451.319,11083.785,1787.678,2893.382
1.5,4470.63,11176.574,1788.252,2901.121
1.51,4489.841,11269.502,1788.781,2908.791
1.52,4508.955,11362.567,1789.268,2916.391
1.53,4527.972,11455.77,1789.712,2923.922
1.54,4546.893,11549.107,1790.115,2931.386
1.55,4565.717,11642.579,1790.477,2938.782
1.56,4584.447,11736.184,1790.8,2946.113
1.57,4603.082,11829.921,1791.083,2953.378
1.58,4621.624,11923.789,1791.327,2960.579
1.59,4640.073,12017.788,1791.534,2967.716
1.6,4658.429,12111.915,1791.703,2974.79
1.61,4676.694,12206.171,1791.837,2981.801
1.62,4694.868,12300.553,1791.934,2988.751
1.63,4712.951,12395.062,1791.997,2995.64
1.64,4730.945,12489.696,1792.025,3002.469
1.65,4748.85,12584.454,1792.019,3009.238
1.66,4766.667,12679.335,1791.98,3015.949
1.67,4784.396,12774.338,1791.909,3022.602
1.68,4802.038,12869.462,1791.805,3029.197
1.69,4819.594,12964.707,1791.671,3035.735
1.7,4837.063,13060.071,1791.505,3042.217
1.71,4854.448,13155.554,1791.309,3048.644
1.72,4871.748,13251.155,1791.084,3055.016
1.73,4888.964,13346.872,1790.829,3061.334
1.74,4906.097,13442.706,1790.546,3067.598
1.75,4923.147,13538.654,1790.235,3073.81
1.76,4940.115,13634.717,1789.897,3079.969
1.77,4957.001,13730.893,1789.531,3086.076
1.78,4973.807,13827.182,1789.139,3092.132
1.79,4990.532,13923.583,1788.721,3098.137
1.8,5007.177,14020.095,1788.277,3104.093
1.81,5023.743,14116.717,1787.809,3109.998
1.82,5040.23,14213.448,1787.316,3115.855
1.83,5056.639,14310.288,1786.798,3121.664
1.84,5072.97,14407.236,1786.257,3127.425
1.85,5089.225,14504.291,1785.693,3133.138
1.86,5105.403,14601.453,1785.106,3138.805
1.87,5121.505,14698.72,1784.497,3144.425
1.88,5137.532,14796.092,1783.865,3149.999
1.89,5153.484,14893.568,1783.212,3155.529
1.9,5169.361,14991.148,1782.538,3161.013
1.91,5185.165,15088.831,1781.844,3166.453
1.92,5200.896,15186.616,1781.129,3171.85
1.93,5216.554,15284.502,1780.394,3177.203
1.94,5232.139,15382.489,1779.639,3182.513
1.95,5247.653,15480.576,1778.865,3187.781
1.96,5263.095,15578.762,1778.073,3193.007
1.97,5278.467,15677.047,1777.262,3198.191
1.98,5293.769,15775.431,1776.432,3203.335
1.99,5309,15873.911,1775.585,3208.438
2,5324.163,15972.489,1774.721,3213.5
2.01,5339.257,16071.163,1773.839,3218.523
2.02,5354.282,16169.932,1772.941,3223.507
2.03,5369.24,16268.796,1772.026,3228.451
2.04,5384.13,16367.755,1771.095,3233.357
2.05,5398.953,16466.807,1770.149,3238.226
2.06,5413.71,16565.953,1769.186,3243.056
2.07,5428.401,16665.191,1768.209,3247.849
2.08,5443.026,16764.521,1767.216,3252.605
2.09,5457.586,16863.942,1766.209,3257.325
2.1,5472.082,16963.454,1765.188,3262.009
2.11,5486.513,17063.057,1764.152,3266.656
2.12,5500.881,17162.749,1763.103,3271.269
2.13,5515.185,17262.53,1762.04,3275.846
2.14,5529.427,17362.4,1760.964,3280.389
2.15,5543.606,17462.358,1759.875,3284.897
2.16,5557.723,17562.404,1758.773,3289.372
2.17,5571.778,17662.537,1757.659,3293.813
2.18,5585.772,17762.756,1756.532,3298.22
2.19,5599.706,17863.061,1755.394,3302.595
2.2,5613.579,17963.451,1754.243,3306.937
2.21,5627.392,18063.927,1753.081,3311.247
2.22,5641.145,18164.487,1751.908,3315.525
2.23,5654.839,18265.131,1750.724,3319.771
2.24,5668.475,18365.858,1749.529,3323.986
2.25,5682.052,18466.668,1748.324,3328.17
2.26,5695.571,18567.561,1747.108,3332.323
2.27,5709.032,18668.536,1745.881,3336.446
2.28,5722.437,18769.592,1744.645,3340.539
2.29,5735.784,18870.729,1743.399,3344.602
2.3,5749.075,18971.947,1742.144,3348.636
2.31,5762.31,19073.245,1740.879,3352.641
2.32,5775.489,19174.623,1739.605,3356.616
2.33,5788.613,19276.08,1738.322,3360.563
2.34,5801.681,19377.616,1737.03,3364.482
2.35,5814.696,19479.23,1735.73,3368.373
2.36,5827.655,19580.922,1734.421,3372.235
2.37,5840.561,19682.692,1733.104,3376.071
2.38,5853.414,19784.538,1731.779,3379.879
2.39,5866.213,19886.462,1730.446,3383.66
2.4,5878.959,19988.461,1729.106,3387.414
2.41,5891.653,20090.536,1727.757,3391.142
2.42,5904.294,20192.687,1726.402,3394.844
2.43,5916.884,20294.912,1725.039,3398.52
2.44,5929.422,20397.213,1723.669,3402.17
2.45,5941.909,20499.587,1722.293,3405.795
2.46,5954.345,20602.035,1720.909,3409.394
2.47,5966.731,20704.556,1719.519,3412.969
2.48,5979.066,20807.151,1718.123,3416.519
2.49,5991.352,20909.818,1716.72,3420.044
2.5,6003.588,21012.557,1715.311,3423.545
2.51,6015.774,21115.368,1713.896,3427.022
2.52,6027.912,21218.251,1712.475,3430.475
2.53,6040.001,21321.204,1711.049,3433.904
2.54,6052.042,21424.229,1709.616,3437.311
2.55,6064.035,21527.324,1708.179,3440.694
2.56,6075.98,21630.488,1706.736,3444.054
2.57,6087.877,21733.723,1705.288,3447.391
2.58,6099.728,21837.026,1703.835,3450.706
2.59,6111.532,21940.399,1702.377,3453.998
2.6,6123.289,22043.84,1700.914,3457.269
2.61,6135,22147.349,1699.446,3460.517
2.62,6146.665,22250.926,1697.974,3463.744
2.63,6158.284,22354.571,1696.497,3466.949
2.64,6169.858,22458.283,1695.016,3470.133
2.65,6181.387,22562.062,1693.531,3473.296
2.66,6192.871,22665.907,1692.041,3476.438
2.67,6204.31,22769.819,1690.548,3479.56
2.68,6215.706,22873.796,1689.05,3482.66
2.69,6227.057,22977.839,1687.549,3485.741
2.7,6238.364,23081.948,1686.044,3488.801
2.71,6249.628,23186.121,1684.536,3491.841
2.72,6260.849,23290.359,1683.024,3494.862
2.73,6272.027,23394.661,1681.509,3497.862
2.74,6283.162,23499.027,1679.99,3500.844
2.75,6294.255,23603.457,1678.468,3503.806
2.76,6305.306,23707.95,1676.943,3506.749
2.77,6316.315,23812.506,1675.415,3509.673
2.78,6327.282,23917.125,1673.884,3512.578
2.79,6338.208,24021.807,1672.35,3515.465
2.8,6349.092,24126.55,1670.814,3518.333
2.81,6359.936,24231.356,1669.275,3521.183
2.82,6370.739,24336.223,1667.733,3524.014
2.83,6381.502,24441.152,1666.188,3526.828
2.84,6392.224,24546.141,1664.642,3529.624
2.85,6402.907,24651.192,1663.093,3532.402
2.86,6413.55,24756.302,1661.541,3535.163
2.87,6424.153,24861.473,1659.988,3537.907
2.88,6434.718,24966.704,1658.432,3540.633
2.89,6445.243,25071.995,1656.875,3543.342
2.9,6455.729,25177.345,1655.315,3546.034
2.91,6466.177,25282.754,1653.754,3548.71
2.92,6476.587,25388.222,1652.191,3551.369
2.93,6486.959,25493.748,1650.626,3554.011
2.94,6497.293,25599.333,1649.059,3556.638
2.95,6507.589,25704.975,1647.491,3559.247
2.96,6517.847,25810.676,1645.921,3561.841
2.97,6528.069,25916.434,1644.35,3564.419
2.98,6538.254,26022.25,1642.777,3566.981
2.99,6548.401,26128.122,1641.203,3569.528
3,6558.513,26234.051,1639.628,3572.059
3.01,6568.588,26340.037,1638.052,3574.575
3.02,6578.627,26446.079,1636.474,3577.075
3.03,6588.63,26552.177,1634.896,3579.56
3.04,6598.597,26658.331,1633.316,3582.03
3.05,6608.528,26764.54,1631.735,3584.486
3.06,6618.425,26870.805,1630.154,3586.926
3.07,6628.286,26977.125,1628.572,3589.352
3.08,6638.113,27083.499,1626.988,3591.763
3.09,6647.904,27189.928,1625.404,3594.16
3.1,6657.661,27296.412,1623.82,3596.543
3.11,6667.384,27402.95,1622.235,3598.912
3.12,6677.073,27509.541,1620.649,3601.266
3.13,6686.728,27616.187,1619.062,3603.607
3.14,6696.349,27722.885,1617.476,3605.934
3.15,6705.937,27829.637,1615.888,3608.247
3.16,6715.491,27936.443,1614.301,3610.546
3.17,6725.012,28043.3,1612.713,3612.832
3.18,6734.5,28150.211,1611.124,3615.105
3.19,6743.956,28257.174,1609.536,3617.364
3.2,6753.378,28364.188,1607.947,3619.61
3.21,6762.768,28471.255,1606.358,3621.843
3.22,6772.127,28578.374,1604.769,3624.063
3.23,6781.452,28685.544,1603.18,3626.271
3.24,6790.747,28792.765,1601.591,3628.465
3.25,6800.009,28900.038,1600.002,3630.647
3.26,6809.24,29007.361,1598.413,3632.817
3.27,6818.439,29114.735,1596.824,3634.974
3.28,6827.607,29222.16,1595.235,3637.118
3.29,6836.745,29329.634,1593.647,3639.251
3.3,6845.851,29437.159,1592.058,3641.371
3.31,6854.927,29544.734,1590.47,3643.479
3.32,6863.972,29652.358,1588.882,3645.575
3.33,6872.987,29760.032,1587.295,3647.66
3.34,6881.971,29867.755,1585.708,3649.732
3.35,6890.926,29975.527,1584.121,3651.793
3.36,6899.851,30083.349,1582.535,3653.842
3.37,6908.746,30191.218,1580.949,3655.88
3.38,6917.611,30299.137,1579.363,3657.907
3.39,6926.447,30407.103,1577.778,3659.922
